Index,Link,Playlist ID,Essential/Optional (E/O),
Playlist 12- Understanding fractions & equivalent fractions,,g5_p12,,
,,,,
,,,,
,Subtitle: week 15,,,
Video 1,/v/introduction-to-fractions/,,E,
Video 2,/v/identifying-fraction-parts/,,E,
Video 3,/v/recognizing-fractions-exercise/,,E,
Video 4,/v/numerator-and-denominator-of-a-fraction/,,E,
Video 5,/v/plotting-basic-fractions-on-the-number-line/,,E,
Video 6,/v/fraction-word-problems-1-exercise/,,E,
Exercise 1,/e/recognizing_fractions_0.5/,,E,
Exercise 2,/e/recognizing_fractions/,,E,
Exercise 3,/e/fractions_on_the_number_line_1/,,E,
Exercise 4,/e/fraction_word_problems_1/,,E,
Exercise 5 ,e/fractions_cut_and_copy_1/,,E,
,,,,
,Subtitle:week 16,,,
Video 7,/v/visualizing-equivalent-fraction/,,E,
Video 8,/v/equivalent-fraction-word-problem-example/,,E,
Video 9,/v/equivalent-fraction-word-problem-example-2/,,E,
Video 10,/v/equivalent-fraction-word-problem-example-3/,,E,
Video 11,/v/fractions-cut-and-copy-1-exercise/,,E,
Video 12,Video12:/v/fractions-in-lowest-terms/,,E,
Video 13,/v/equivalent-fractions/,,E,
Video 14,/v/equivalent-fractions-example/,,E,
Exercise 6,/e/equivalent_fractions_2/,,E,
Exercise 7,/e/simplifying_fractions/,,E,
Exercise 8,/e/equivalent_fractions/,,E,
,Quiz 7,g5_p12_q7,,
,,,,
,Grade V - Unit Test 3," g5_p10,g5_p11,g5_p12",2,
,,,,
"Playlist 13 - Comparing fractions, decomposing fractions, factors and multiples, adding and subtracting fractions",,g5_p13,,
,,,,
,,,,
,Subtitle week 17,,,
Video 1,/v/finding-common-denominators/,,E,
Video 2,/v/comparing-fractions-with-greater-than-and-less-than-symbols/,,E,
Video 3,/v/fractions-with-like-denominators-numerators/,,E,
Video 4,/v/comparing-fractions/,,E,
Video 5,/v/comparing-fractions-2/,,E,
Video 6,/v/ordering-fractions/,,E,
Exercise 1,/e/comparing_fractions_1/,,E,
Exercise 2,/e/comparing_fractions_2/,,E,
Exercise 3,/e/ordering_fractions/,,E,
Video 7,/v/decomposing-a-fraction-visually/,,E,
Video 8,/v/decomposing-a-mixed-number/,,E,
,,,,
,Subtitle week 18,,,
Video 1,/v/adding-up-to-a-fraction-drag-and-drop-example/,,E,
Video 2,/v/adding-fractions-with-like-denominators/,,E,
Video 3,/v/subtracting--fractions/,,E,
Video 4,/v/adding-and-subtracting-fractions/,,E,
Video 5,/v/adding-fractions-with-unlike-denominators/,,E,
Video 6,/v/adding-fractions--ex-1/,,E,
Video 7,v/subtracting-fractions-with-unlike-denominators/,,E,
Video 8,/v/adding-fractions-with-different-signs/,,E,
Video 9,/v/addition-of-rational--numbers/,,E,
Video 10,/v/adding-fractions-word-problem-1/,,E,
Video 11,/v/subtracting-fractions-word-problem-1/,,E,
Video 12,/v/adding-fractions-word-problem-2/,,E,
Video 13,/v/adding-fractions-with-unlike-denominators-word-problem/,,E,
Video 14,/v/subtracting-fractions-with-unlike-denominators-word-problem/,,E,
Exercise 1,/e/adding_fractions_with_common_denominators/,,E,
Exercise 2,/e/subtracting_fractions_with_common_denominators/,,E,
Exercise 3,/e/adding_fractions/,,E,
Exercise 4,/e/subtracting_fractions/,,E,
Exercise 5,/e/adding_and_subtracting_fractions/,,E,
,Quiz  8,g5_p13_q8,,
,,,,
Playlist 14 - Multiplying and dividing fractions,,g5_p14,,
,,,,
,,,,
,Subtitle week 19,,,
Video 1,/v/multiplying-fractions-and-whole-numbers/,,E,
Video 2,/v/multiplying-a-fraction-by-a-fraction/,,E,
Video 3,/v/multiplying-fractions/,,E,
Video 4,/v/multiplying-negative-and-positive-fractions/,,E,
Video 5,/v/multiplication-as-scaling/,,E,
Exercise 1,/e/multiplying_fractions_by_integers/,,E,
Exercise 2,/e/multiplying_fractions_0.5/,,E,
